Model,MSE,MAE
Random Forest,0.0017734162514695965,0.026954912377369487
Extra Trees,0.001257411488100046,0.021574687159447953
Gradient Boosting,0.0009525873199776067,0.022012808528680768
AdaBoost,0.0244110687279787,0.12468190109713226
XGBoost,0.0006432095338150486,0.017329701007596354
LightGBM,0.000808014478093154,0.019944838720657006
CatBoost,0.0007174609119269955,0.01869216846050888
K-Nearest Neighbors,0.004878924143434896,0.04783106388051418
Support Vector Regression,0.002427509965111976,0.03993165775234543
